序号,卦名,关键词
1,乾卦（䷀）,创造、刚健、进取
2,坤卦（䷁）,包容、柔顺、承载
3,屯卦（䷂）,初生、艰难、积累
4,蒙卦（䷃）,启蒙、教育、探索
5,需卦（䷄）,等待、需求、准备
6,讼卦（䷅）,争讼、冲突、调解
7,师卦（䷆）,军队、领导、纪律
8,比卦（䷇）,亲近、合作、团结
9,小畜卦（䷈）,小有积蓄、渐进发展
10,履卦（䷉）,实践、行动、谨慎
11,泰卦（䷊）,通达、顺利、和谐
12,否卦（䷋）,闭塞、困境、逆境
13,同人卦（䷌）,团结、合作、共识
14,大有卦（䷍）,丰收、富足、成功
15,谦卦（䷎）,谦虚、低调、自省
16,豫卦（䷏）,愉悦、安逸、准备
17,随卦（䷐）,随从、顺应、灵活
18,蛊卦（䷑）,腐败、整顿、改革
19,临卦（䷒）,临近、领导、监督
20,观卦（䷓）,观察、审视、学习
21,噬嗑卦（䷔）,咬合、解决、决断
22,贲卦（䷕）,装饰、美化、礼仪
23,剥卦（䷖）,剥落、衰落、危机
24,复卦（䷗）,复兴、回归、新生
25,无妄卦（䷘）,无妄、真实、自然
26,大畜卦（䷙）,大积蓄、大发展
27,颐卦（䷚）,颐养、自足、修养
28,大过卦（䷛）,过度、非常、危机
29,坎卦（䷜）,险陷、困境、挑战
30,离卦（䷝）,光明、依附、热情
31,咸卦（䷞）,感应、互动、情感
32,恒卦（䷟）,恒久、稳定、坚持
33,遁卦（䷠）,隐退、避让、等待
34,大壮卦（䷡）,强盛、壮大、行动
35,晋卦（䷢）,晋升、进步、发展
36,明夷卦（䷣）,光明受损、困境、隐忍
37,家人卦（䷤）,家庭、和谐、责任
38,睽卦（䷥）,背离、矛盾、分歧
39,蹇卦（䷦）,困难、阻碍、挑战
40,解卦（䷧）,解脱、解决、释放
41,损卦（䷨）,损失、减损、节制
42,益卦（䷩）,增益、帮助、进步
43,夬卦（䷪）,决断、果断、行动
44,姤卦（䷫）,相遇、机遇、变化
45,萃卦（䷬）,聚集、团结、合作
46,升卦（䷭）,上升、进步、发展
47,困卦（䷮）,困境、束缚、挑战
48,井卦（䷯）,井养、资源、奉献
49,革卦（䷰）,变革、革新、突破
50,鼎卦（䷱）,稳固、权力、更新
51,震卦（䷲）,震动、变动、惊醒
52,艮卦（䷳）,静止、稳定、止步
53,渐卦（䷴）,渐进、发展、成长
54,归妹卦（䷵）,归宿、婚姻、结合
55,丰卦（䷶）,丰盛、繁荣、成功
56,旅卦（䷸）,旅行、漂泊、探索
57,巽卦（䷷）,顺从、渗透、灵活
58,兑卦（䷹）,喜悦、沟通、和谐
59,涣卦（䷺）,涣散、分散、化解
60,节卦（䷻）,节制、调节、约束
61,中孚卦（䷼）,诚信、信任、和谐
62,小过卦（䷽）,小有过错、微调、谨慎
63,既济卦（䷾）,完成、成功、平衡
64,未济卦（䷿）,未完成、持续、希望